tts_sysno,c_textid,c_personid,c_role_id,c_year,c_nh_code,c_nh_year,c_range_code,c_source,c_pages,c_secondary_source_author,c_notes,c_created_by,c_created_date,c_modified_by,c_modified_date
24428,25787,21194,0,-1,0,-1,0,,0000000,,,load,20100825,,
24429,25788,21194,0,-1,0,-1,0,,0000000,,,load,20100825,,
24430,25789,21194,0,-1,0,-1,0,,0000000,,,load,20100825,,
25628,26932,21194,0,-1,0,-1,0,,0000000,,,load,20100825,,
,41691,21194,1,,,,,40328,72-73,,,load,20220113,,
,41692,21194,1,,,,,40328,72-73,,,load,20220113,,
,41693,21194,1,,,,,40328,72-73,,,load,20220113,,
,53034,21194,1,,,,,40328,1094-1120,,,load,20220113,,
4050,5976,21214,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
5562,7465,21214,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
10993,12852,21214,0,-1,0,-1,0,,0000000,,,load,20100825,,
6047,7943,21229,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
3783,5705,21240,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
9955,11815,21240,0,-1,0,-1,0,,0000000,,,load,20100825,,
10525,12385,21241,0,-1,0,-1,0,,0000000,,,load,20100825,,
10526,12386,21241,0,-1,0,-1,0,,0000000,,,load,20100825,,
3722,5643,21259,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
9245,11109,21259,0,-1,0,-1,0,,0000000,,,load,20100825,,
9970,11830,21266,0,-1,0,-1,0,,0000000,,,load,20100825,,
9214,11078,21491,0,-1,0,-1,0,,0000000,,,load,20100825,,
9221,11085,21495,0,-1,0,-1,0,,0000000,,,load,20100825,,
7331,9230,21527,0,-1,0,-1,0,,0000000,,,BDZHOUJIA,20080322,,
7332,9231,21527,0,-1,0,-1,0,,0000000,,,BDZHOUJIA,20080322,,
6128,8024,21531,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
6129,8025,21531,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
6130,8026,21531,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
6131,8027,21531,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
6132,8028,21531,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
6133,8029,21531,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
6134,8030,21531,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
6135,8031,21531,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
6136,8032,21531,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
